date,category,symbol,price,var_begin
2022-02-23,Carne,🥩,32.24,0
2022-02-23,Congelados,🧊,13.85,0
2022-02-23,Frutas e legumes,🥦,23.60,0
2022-02-23,Lacticínios,🥛,11.48,0
2022-02-23,Mercearia,🍝,42.15,0
2022-02-23,Peixe,🐟,60.31,0
2022-04-20,Carne,🥩,36.42,12.95
2022-04-20,Congelados,🧊,12.50,-9.75
2022-04-20,Frutas e legumes,🥦,24.69,4.61
2022-04-20,Lacticínios,🥛,11.82,3.01
2022-04-20,Mercearia,🍝,43.83,4.00
2022-04-20,Peixe,🐟,71.53,18.59
2022-04-27,Carne,🥩,36.10,11.95
2022-04-27,Congelados,🧊,12.79,-7.61
2022-04-27,Frutas e legumes,🥦,24.74,4.82
2022-04-27,Lacticínios,🥛,11.98,4.37
2022-04-27,Mercearia,🍝,44.66,5.96
2022-04-27,Peixe,🐟,72.67,20.49
2022-05-04,Carne,🥩,36.34,12.70
2022-05-04,Congelados,🧊,14.06,1.53
2022-05-04,Frutas e legumes,🥦,24.33,3.07
2022-05-04,Lacticínios,🥛,12.30,7.13
2022-05-04,Mercearia,🍝,45.09,6.98
2022-05-04,Peixe,🐟,73.88,22.50
2022-05-11,Carne,🥩,37.02,14.82
2022-05-11,Congelados,🧊,14.46,4.46
2022-05-11,Frutas e legumes,🥦,23.89,1.23
2022-05-11,Lacticínios,🥛,12.47,8.65
2022-05-11,Mercearia,🍝,45.49,7.94
2022-05-11,Peixe,🐟,73.86,22.47
2022-05-18,Carne,🥩,37.26,15.56
2022-05-18,Congelados,🧊,13.95,0.75
2022-05-18,Frutas e legumes,🥦,23.74,0.58
2022-05-18,Lacticínios,🥛,12.31,7.27
2022-05-18,Mercearia,🍝,45.53,8.02
2022-05-18,Peixe,🐟,72.47,20.16
2022-05-25,Carne,🥩,37.06,14.93
2022-05-25,Congelados,🧊,13.28,-4.08
2022-05-25,Frutas e legumes,🥦,23.98,1.61
2022-05-25,Lacticínios,🥛,12.40,8
2022-05-25,Mercearia,🍝,45.80,8.67
2022-05-25,Peixe,🐟,72.39,20.02
