article,produto,date_begin,price_begin,date_end,price_end,diff,var_txt
a,Couve coração,2022-02-23,1.04,2023-02-22,2.00,0.96,92
o,Arroz carolino,2022-02-23,1.14,2023-02-22,2.00,0.86,76
a,Polpa de tomate,2022-02-23,0.89,2023-02-22,1.54,0.65,73
a,Alface frisada,2022-02-23,2.06,2023-02-22,3.55,1.49,72
a,Cenoura,2022-02-23,0.77,2023-02-22,1.21,0.44,57
o,Carapau,2022-02-23,3.32,2023-02-22,5.12,1.80,54
a,Cebola,2022-02-23,1.05,2023-02-22,1.59,0.54,52
o,Azeite virgem,2022-02-23,4.65,2023-02-22,7.04,2.39,51
o,Açúcar branco,2022-02-23,1.11,2023-02-22,1.67,0.56,50
a,Couve flor,2022-02-23,2.08,2023-02-22,3.08,1.00,48
