article,produto,date_begin,price_begin,date_end,price_end,diff,var_txt
os,Cereais,2022-04-27,2.80,2022-05-04,3.35,0.55,20
as,Ervilhas ultracongeladas,2022-04-27,2.87,2022-05-04,3.34,0.47,16
os,Douradinhos de peixe,2022-04-27,4.00,2022-05-04,4.65,0.65,16
a,Perca,2022-04-27,10.44,2022-05-04,11.79,1.35,13
a,Massa espirais,2022-04-27,1.16,2022-05-04,1.28,0.12,10
a,Farinha para bolos,2022-04-27,1.56,2022-05-04,1.71,0.15,10
a,Couve,2022-04-27,1.00,2022-05-04,1.09,0.09,9
a,Cenoura,2022-04-27,0.79,2022-05-04,0.85,0.06,8
o,Salmão,2022-04-27,14.98,2022-05-04,16.13,1.15,8
o,Queijo curado,2022-04-27,2.00,2022-05-04,2.13,0.13,7
